threshold,CAGR,Sharpe,MaxDrawdown,TotalReturn,Trades
0.58,0.04009869639846664,0.6387406841646218,-0.07847125691393353,0.2771950884619572,46
0.52,0.09873010057071552,0.5249492777348403,-0.32763326371588664,0.7966784006634986,279
0.5,0.08541394985838391,0.4710987214534591,-0.32763326371588664,0.6653862201914282,283
0.68,0.0031028080587485185,0.39375402647575003,-0.0004999999999999449,0.019466344168603822,1
0.67,0.0031028080587485185,0.39375402647575003,-0.0004999999999999449,0.019466344168603822,1
0.51,0.0590313389133974,0.36919812892915954,-0.32763326371588664,0.4289298068993288,284
0.53,0.007090241529522423,0.13271293709732068,-0.2902722140933446,0.04494875017277011,263
0.65,0.002080528451477548,0.12301688321823703,-0.03188096548017183,0.013017964447505248,3
0.54,-0.0031240024407963585,0.05666728183990364,-0.31136239081487593,-0.019283173240265072,219
0.69,0.0,0.0,0.0,0.0,0
0.55,-0.006957299529782968,-0.005327385170015779,-0.23305287945664377,-0.042517205890692855,140
0.6,-0.00681016759837727,-0.13352885538572593,-0.10080818727108887,-0.0416340299098229,20
0.66,-0.0021061907253824286,-0.13477588322554726,-0.03188096548017172,-0.013035227158032292,2
0.59,-0.008498897722304832,-0.14309972446501024,-0.08573657100878529,-0.05172982305901208,29
0.64,-0.006905925136803437,-0.24924041172283493,-0.04692951642698995,-0.042208902964704365,6
0.56,-0.02758111302599875,-0.2616624301216697,-0.26800851287312455,-0.15974717827542717,95
0.57,-0.027651214358276666,-0.2912857812666166,-0.1999151328748413,-0.1601240645437434,63
0.62,-0.019599192175915214,-0.5453416353986321,-0.11589505493602115,-0.11589505493602115,12
0.63,-0.01851888789133349,-0.5808467631478959,-0.10981502982631652,-0.10981502982631652,9
0.61,-0.024449368047336995,-0.6279500342439247,-0.14611647230012925,-0.14276450234754123,15
